09:08:10:161,MESSAGE,Transfer End Hole Item datas...[Hole count : 38]
09:08:13:234,EVENT,Changed Apply All Marking is FALSE from TRUE
09:08:13:234,MESSAGE,Transfer Start Hole Item datas...
09:08:13:531,MESSAGE,Transfer End Hole Item datas...[Hole count : 38]
09:08:23:343,EVENT,Changed Apply All Marking is TRUE from FALSE
09:08:23:343,MESSAGE,Transfer Start Hole Item datas...
09:08:23:780,MESSAGE,Transfer End Hole Item datas...[Hole count : 38]
09:08:31:471,EVENT,Changed Apply All Marking is FALSE from TRUE
09:08:31:471,MESSAGE,Transfer Start Hole Item datas...
09:08:31:752,MESSAGE,Transfer End Hole Item datas...[Hole count : 38]
09:11:03:166,EVENT,레시피 menu button clicked.
09:11:12:978,EVENT,Load file is RECIPE NAME
09:11:15:115,EVENT,Save recipe is C:\Users\NUVO-4022\Desktop\경산공장\경산 250 125\경산 250 4.txt
09:11:17:112,EVENT,운전화면 menu button clicked.
09:11:21:917,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 4.rcp for Working
09:11:21:917,MESSAGE,Transfer Start Hole Item datas...
09:11:22:198,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:11:27:704,EVENT,Changed Apply All Marking is TRUE from FALSE
09:11:27:704,MESSAGE,Transfer Start Hole Item datas...
09:11:28:016,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:16:58:144,EVENT,Changed Apply All Marking is FALSE from TRUE
09:16:58:144,MESSAGE,Transfer Start Hole Item datas...
09:16:58:425,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:17:04:618,EVENT,Changed Apply All Marking is FALSE from TRUE
09:17:04:618,MESSAGE,Transfer Start Hole Item datas...
09:17:04:899,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:17:08:815,EVENT,Changed Apply All Marking is FALSE from TRUE
09:17:08:815,MESSAGE,Transfer Start Hole Item datas...
09:17:09:283,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:17:21:529,EVENT,Changed Apply All Marking is FALSE from TRUE
09:17:21:529,MESSAGE,Transfer Start Hole Item datas...
09:17:21:841,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:17:27:347,EVENT,Changed Apply All Marking is FALSE from TRUE
09:17:27:363,MESSAGE,Transfer Start Hole Item datas...
09:17:27:893,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:24:18:237,EVENT,Changed Apply All Marking is FALSE from TRUE
09:24:18:237,MESSAGE,Transfer Start Hole Item datas...
09:24:18:549,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:24:19:734,EVENT,Changed Apply All Marking is FALSE from TRUE
